STOMACH,TROPHIC
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,DET
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,OMN
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,INV
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
<16.2,PISC
>16.2,DET
>16.2,DET
>16.2,DET
>16.2,DET
>16.2,OMN
>16.2,OMN
>16.2,OMN
>16.2,OMN
>16.2,OMN
>16.2,OMN
>16.2,OMN
>16.2,OMN
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,INV
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
>16.2,PISC
