Canberra,Sydney,Melbourne,Adelaide,Perth,Broome,Alice,Darwin,Cairns,Townsville,Brisbane,Hobart
Canberra,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sydney,246,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melbourne,467,713,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelaide,958,1160,653,0,NA,NA,NA,NA,NA,NA,NA,NA
Perth,3090,3290,2720,2130,0,NA,NA,NA,NA,NA,NA,NA
Broome,3280,3380,3120,2490,1680,0,NA,NA,NA,NA,NA,NA
Alice,1950,2030,1890,1330,1990,1370,0,NA,NA,NA,NA,NA
Darwin,3130,3150,3150,2620,2650,1110,1290,0,NA,NA,NA,NA
Cairns,2060,1960,2320,2120,3440,2500,1450,1680,0,NA,NA,NA
Townsville,1790,1680,2070,1920,3390,2590,1420,1860,281,0,NA,NA
Brisbane,941,731,1370,1600,3610,3320,1960,2850,1390,1110,0,NA
Hobart,860,1060,597,1160,3010,3640,2460,3730,2890,2630,1790,0
