y,treat,sites
8,Low,Site1
2,Medium,Site1
3,High,Site1
17,Low,Site2
15,Medium,Site2
7,High,Site2
3,Low,Site3
2,Medium,Site3
2,High,Site3
16,Low,Site4
7,Medium,Site4
5,High,Site4
15,Low,Site5
17,Medium,Site5
18,High,Site5
13,Low,Site6
8,Medium,Site6
5,High,Site6
5,Low,Site7
9,Medium,Site7
5,High,Site7
9,Low,Site8
6,Medium,Site8
1,High,Site8
11,Low,Site9
2,Medium,Site9
8,High,Site9
4,Low,Site10
7,Medium,Site10
11,High,Site10
19,Low,Site11
21,Medium,Site11
10,High,Site11
5,Low,Site12
3,Medium,Site12
3,High,Site12
3,Low,Site13
3,Medium,Site13
0,High,Site13
9,Low,Site14
11,Medium,Site14
6,High,Site14
5,Low,Site15
5,Medium,Site15
1,High,Site15
8,Low,Site16
6,Medium,Site16
5,High,Site16
7,Low,Site17
4,Medium,Site17
1,High,Site17
0,Low,Site18
0,Medium,Site18
0,High,Site18
10,Low,Site19
9,Medium,Site19
4,High,Site19
9,Low,Site20
4,Medium,Site20
2,High,Site20
