y,treat,sites
27,Low,Site1
19,Medium,Site1
1,High,Site1
0,Low,Site2
0,Medium,Site2
0,High,Site2
17,Low,Site3
4,Medium,Site3
10,High,Site3
5,Low,Site4
2,Medium,Site4
3,High,Site4
8,Low,Site5
16,Medium,Site5
0,High,Site5
9,Low,Site6
8,Medium,Site6
5,High,Site6
15,Low,Site7
10,Medium,Site7
5,High,Site7
12,Low,Site8
6,Medium,Site8
7,High,Site8
12,Low,Site9
4,Medium,Site9
9,High,Site9
6,Low,Site10
14,Medium,Site10
2,High,Site10
23,Low,Site11
9,Medium,Site11
20,High,Site11
14,Low,Site12
14,Medium,Site12
14,High,Site12
16,Low,Site13
0,Medium,Site13
4,High,Site13
24,Low,Site14
29,Medium,Site14
10,High,Site14
14,Low,Site15
15,Medium,Site15
3,High,Site15
3,Low,Site16
0,Medium,Site16
0,High,Site16
20,Low,Site17
18,Medium,Site17
3,High,Site17
35,Low,Site18
12,Medium,Site18
11,High,Site18
5,Low,Site19
30,Medium,Site19
7,High,Site19
48,Low,Site20
29,Medium,Site20
14,High,Site20
