y,treat,sites
0,Low,Site1
1,Medium,Site1
0,High,Site1
0,Low,Site2
0,Medium,Site2
0,High,Site2
0,Low,Site3
11,Medium,Site3
0,High,Site3
13,Low,Site4
0,Medium,Site4
3,High,Site4
12,Low,Site5
0,Medium,Site5
5,High,Site5
0,Low,Site6
0,Medium,Site6
15,High,Site6
16,Low,Site7
0,Medium,Site7
8,High,Site7
0,Low,Site8
0,Medium,Site8
0,High,Site8
8,Low,Site9
2,Medium,Site9
3,High,Site9
9,Low,Site10
7,Medium,Site10
1,High,Site10
17,Low,Site11
13,Medium,Site11
12,High,Site11
0,Low,Site12
6,Medium,Site12
0,High,Site12
0,Low,Site13
9,Medium,Site13
0,High,Site13
0,Low,Site14
0,Medium,Site14
6,High,Site14
3,Low,Site15
6,Medium,Site15
0,High,Site15
12,Low,Site16
25,Medium,Site16
18,High,Site16
16,Low,Site17
0,Medium,Site17
0,High,Site17
0,Low,Site18
0,Medium,Site18
0,High,Site18
0,Low,Site19
0,Medium,Site19
10,High,Site19
0,Low,Site20
3,Medium,Site20
2,High,Site20
