STATION,ZINC,DIVERSITY
ER1         ,BACK        ,2.27
ER2         ,HIGH        ,1.25
ER3         ,HIGH        ,1.15
ER4         ,MEDIUM      ,1.62
FC1         ,BACK        ,1.70
FC2         ,HIGH        ,0.63
BR1         ,BACK        ,2.05
BR2         ,BACK        ,1.98
BR3         ,HIGH        ,1.04
BR4         ,MEDIUM      ,2.19
BR5         ,MEDIUM      ,2.10
DC1         ,BACK        ,2.20
PC1         ,MEDIUM      ,2.06
SR1         ,HIGH        ,1.90
SR2         ,HIGH        ,1.88
SR3         ,HIGH        ,0.85
EF1         ,LOW         ,1.40
EF5         ,LOW         ,2.18
AR1         ,LOW         ,1.83
AR2         ,LOW         ,1.88
AR3         ,MEDIUM      ,2.02
AR5         ,MEDIUM      ,1.94
AR8         ,LOW         ,2.10
CC1         ,LOW         ,2.38
CC2         ,HIGH        ,1.43
CC3         ,HIGH        ,1.37
CC4         ,MEDIUM      ,1.75
CC5         ,LOW         ,2.83
MC1         ,BACK        ,1.53
MC2         ,BACK        ,0.76
MC3         ,MEDIUM      ,0.80
SPR1        ,LOW         ,1.66
SPR2        ,MEDIUM      ,0.98
SPR3        ,BACK        ,1.89
