TOAD.,BRTHTYP.,BO0,BO5,BO10,BO15,BO20,BO30,BO40,BO50,LO0,LO5,LO10,LO15,LO20,LO30,LO40,LO50
b           ,buccal      ,4.647580,4.171331,4.732864,2.898275,1.732051,1.949359,2.5298221,1.788854,NA,NA,NA,NA,NA,NA,NA,NA
d           ,buccal      ,6.164414,5.899152,5.603570,5.329165,5.403702,5.656854,3.5777088,4.711688,NA,NA,NA,NA,NA,NA,NA,NA
e           ,buccal      ,5.477226,4.626013,3.098387,4.171331,4.242641,3.794733,0.8944272,1.732051,NA,NA,NA,NA,NA,NA,NA,NA
f           ,buccal      ,4.472136,4.732864,3.794733,4.147288,2.529822,1.673320,1.8973666,2.000000,NA,NA,NA,NA,NA,NA,NA,NA
g           ,buccal      ,6.767570,6.115554,6.164414,5.709641,4.857983,6.244998,3.7947332,3.316625,NA,NA,NA,NA,NA,NA,NA,NA
i           ,buccal      ,3.549648,3.130495,3.660601,3.065942,2.932576,2.756810,2.0493902,1.897367,NA,NA,NA,NA,NA,NA,NA,NA
k           ,buccal      ,2.898275,2.756810,3.974921,2.280351,1.732051,2.049390,1.8439089,1.549193,NA,NA,NA,NA,NA,NA,NA,NA
l           ,buccal      ,3.549648,4.711688,3.714835,3.098387,3.065942,2.966479,2.4083189,2.280351,NA,NA,NA,NA,NA,NA,NA,NA
m           ,buccal      ,6.115554,5.983310,5.603570,4.753946,4.690416,4.604346,4.0987803,3.492850,NA,NA,NA,NA,NA,NA,NA,NA
n           ,buccal      ,5.621388,4.626013,3.130495,3.224903,3.376389,4.171331,3.4928498,1.673320,NA,NA,NA,NA,NA,NA,NA,NA
o           ,buccal      ,5.291503,3.872983,4.711688,4.098780,3.660601,3.098387,3.1304952,2.529822,NA,NA,NA,NA,NA,NA,NA,NA
p           ,buccal      ,5.603570,6.633250,4.898979,6.340347,3.033150,3.660601,3.1304952,3.000000,NA,NA,NA,NA,NA,NA,NA,NA
r           ,buccal      ,4.074310,4.147288,4.024922,3.820995,2.898275,2.569047,2.1908902,2.280351,NA,NA,NA,NA,NA,NA,NA,NA
a           ,lung        ,NA,NA,NA,NA,NA,NA,NA,NA,3.255764,4.335897,4.171331,4.07431,3.065942,3.376389,1.6733201,2.097618
c           ,lung        ,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4.242641,5.196152,5.567764,5,7,4.582576
h           ,lung        ,NA,NA,NA,NA,NA,NA,NA,NA,1.549193,2.569047,2.898275,2.04939,3.376389,2.792848,2.1908902,2.408319
j           ,lung        ,NA,NA,NA,NA,NA,NA,NA,NA,1.732051,2,2.366432,3.03315,2.48998,2,1.6733201,1.67332
q           ,lung        ,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3.130495,2.75681,2.7202941,2.19089
s           ,lung        ,NA,NA,NA,NA,NA,NA,NA,NA,3.714835,3.847077,4.266146,3.464102,3.768289,3.098387,2.9325757,2.792848
t           ,lung        ,NA,NA,NA,NA,NA,NA,NA,NA,2.144761,4.195235,4.732864,2.898275,2.097618,1.949359,2.5298221,1.949359
u           ,lung        ,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,3.714835,2.932576,3.521363,2.6457513,2.75681
