Species,Common,Mass,FMR,Taxon,Habitat,Diet,Class,MASS
1,  Pipistrellus pipistrellus,Pipistrelle,7.3,29.3,Ch,ND,I,Mammal,0.0073
2,  Plecotus auritus,Brown long-eared bat,8.5,27.6,Ch,ND,I,Mammal,0.0085
3,  Myotis lucifugus,Little brown bat,9,29.9,Ch,ND,I,Mammal,0.009
4,  Gerbillus henleyi,Northern pygmy gerbil,9.3,26.5,Ro,D,G,Mammal,0.0093
5,  Tarsipes rostratus,Honey possum,9.9,34.4,Tr,ND,N,Mammal,0.0099
6,  Anoura caudifer,Flower-visiting bat,11.5,51.9,Ch,ND,N,Mammal,0.0115
7,  Macrotus californicus,Big-eared bat,13,21.5,Ch,D,I,Mammal,0.013
8,  Peromyscus crinitus,Cactus mouse,13.4,39.3,Ro,D,O,Mammal,0.0134
9,  Mus domesticus,Wild house mouse,15.1,47.1,Ro,D,O,Mammal,0.0151
10,  Cleithrionomys rutilus,Bank vole,16,57.6,Ro,ND,H,Mammal,0.016
11,  Sminthopsis crassicaudata,Narrow-footed marsup. mouse,16.6,68.6,Da,ND,I,Mammal,0.0166
12,  Perognathus formosus,Long-tailed pocket mouse,17.9,45.2,Ro,D,G,Mammal,0.0179
13,  Peromyscus maniculatus,Deer mouse,17.9,53.4,Ro,D,O,Mammal,0.0179
14,  Peromyscus leucopus,White-footed deer mouse,19.2,41.4,Ro,ND,O,Mammal,0.0192
15,  Microtus arvalis,Meadow mouse,20,90,Ro,ND,O,Mammal,0.02
16,  Eremitalpa namibensis,Namib Desert golden mole,20.7,12.5,In,D,I,Mammal,0.0207
17,  Eptesicus fuscus,Big brown bat,20.8,43.6,Ch,ND,I,Mammal,0.0208
18,  Gerbillus allenbyi,Allenbys gerbil,22.8,35.6,Ro,D,G,Mammal,0.0228
19,  Cleithrionomys glareolus,Bank vole,23.4,88,Ro,ND,H,Mammal,0.0234
20,  Microtus agrestis,Field vole,26.8,77.8,Ro,ND,H,Mammal,0.0268
21,  Gerbillus pyramidum,Greater Egyptian gerbil,31.8,45.2,Ro,D,G,Mammal,0.0318
22,  Pseudomys albocinereus,Australian native mouse,32.6,62.2,Ro,ND,O,Mammal,0.0326
23,  Antechinus stuartii,Brown antechinus,33,86.4,Da,ND,I,Mammal,0.033
24,  Phascogale calura,Wambenger,33.5,61.9,Da,ND,C,Mammal,0.0335
25,  Dipodomys merriami,Merriams kangaroo rat,34.3,47.6,Ro,D,G,Mammal,0.0343
26,  Microtus pennsylvanicus,Meadow vole,36.9,115,Ro,ND,H,Mammal,0.0369
27,  Acomys cahirinus,Common spiny mouse,38.3,51.8,Ro,D,O,Mammal,0.0383
28,  Sekeetamys calurus,Bushy-tailed jird,41.2,44,Ro,D,O,Mammal,0.0412
29,  Microgale dobsoni,Shrew-tenrec,42.6,77.1,In,ND,I,Mammal,0.0426
30,  Microgale talazaci,Shrew-tenrec,42.8,66.5,In,ND,I,Mammal,0.0428
31,  Acomys russatus,Golden spiny mouse,45,47.8,Ro,D,O,Mammal,0.045
32,  Lemmus trimucronatus,Brown lemming,55.2,201,Ro,ND,H,Mammal,0.0552
33,  Dipodomys microps,Chisel-tooth kangaroo rat,57.1,84.5,Ro,D,O,Mammal,0.0571
34,  Praomys natalensis,Multi-mammate mouse,57.3,86.6,Ro,ND,O,Mammal,0.0573
