DATE,LABEL,logger,minT,maxT,meanT,RAD,Transect,Serial,UTME_CORR,UTMN_CORR,WTRSHD,ASPECT,TR_ORIENT,TOTRAD_old,TOTRAD,BEDROCK,BEERS,ELEV,TR_ELEV,FIREFREQ,FIREHIST,GEOL_FOR,HILLSHAD,M1_PRR,M2_PRR,M3_PRR,M4_PRR,M5_PRR,M6_PRR,NDVI_JUN,SLOPE,LOG.STRDST,STRDST,TCI,TOT_PRR,UNDISTUR,VEGMACK,MONTH,Tmin.syn,Tmin.lapse,Tmax.syn,Tmax.lapse,minSYN,maxSYN
01/01/2006,i0514252c,107,-4.05555555555556,3.44444444444445,-0.305555555555555,3344.031494,6 - Nol Clingmans,05 000000 14252C 21,274433,3938026,NOL,133.1,E,2352817.976,2352739.616,9,1.03,1688,1772.272727,0,0,59,112,1601,1925,2004,1984,1829,1456,102,15.92,2.65,14.14,7.47,10800,1,1,01,-2.401377201,-0.00067438,14.57090142,-0.003082997,-3.539730641,9.366802484
01/01/2006,i201423f0,99,-1.55555555555556,3.44444444444445,0.944444444444445,2687.287109,6 - Nol Clingmans,20 000000 1423F0 21,274078,3937944,NOL,70.8,E,2148512.182,2148885.257,9,1.9,1852,1772.272727,0,0,59,105,1552,1900,1991,1966,1788,1394,66,20.71,5.58,264,5.81,10590,1,1,01,-2.401377201,-0.00067438,14.57090142,-0.003082997,-3.650328961,8.861190976
01/01/2006,i4413f5d9,98,-1,3.44444444444445,1.22222222222222,2682.308838,6 - Nol Clingmans,44 000000 13F5D9 21,274035,3937936,NOL,77.82,E,2145182.006,2128250.467,9,1.84,1874,1772.272727,0,0,59,81,1498,1821,1904,1888,1757,1343,66,36.57,5.71,302.3,5.27,10210,1,1,01,-2.401377201,-0.00067438,14.57090142,-0.003082997,-3.665165321,8.793365042
01/01/2006,i81143268,104,-1,3.44444444444445,1.22222222222222,2665.281494,6 - Nol Clingmans,81 000000 143268 21,274294,3937984,NOL,66.63,E,2130930.041,2139279.228,9,1.93,1749,1772.272727,0,0,59,103,1543,1894,1988,1961,1805,1382,74,20.93,4.72,111.8,6.21,10570,1,1,01,-2.401377201,-0.00067438,14.57090142,-0.003082997,-3.580867821,9.178739667
01/01/2006,i961422c9,108,-3.5,1.94444444444444,-0.777777777777778,4048.781982,6 - Nol Clingmans,96 000000  1422C9 21,274450,3938033,NOL,158.1,E,2352817.976,2531460.854,9,0.61,1687,1772.272727,0,0,59,154,1740,2016,2060,2049,1961,1631,102,20.72,0,0,10.67,11460,1,1,01,-2.401377201,-0.00067438,14.57090142,-0.003082997,-3.539056261,9.369885481
01/01/2006,ia31439b1,100,-1,4,1.5,2665.179443,6 - Nol Clingmans,A3 000000 1439B1 21,274123,3937951,NOL,78.99,E,2148885.257,2143628.278,9,1.83,1831,1772.272727,0,0,59,101,1541,1890,1982,1957,1800,1377,74,22.81,5.42,226.3,6,10550,1,1,01,-2.401377201,-0.00067438,14.57090142,-0.003082997,-3.636166981,8.925933913
01/01/2006,ibb14196e,105,-1,4,1.5,2718.58667,6 - Nol Clingmans,BB 000000 14196E 21,274339,3937998,NOL,68.01,E,2156802.678,2156801.654,9,1.92,1730,1772.272727,0,0,59,105,1556,1900,1990,1965,1813,1400,74,20.41,4.44,84.85,6.31,10620,1,1,01,-2.401377201,-0.00067438,14.57090142,-0.003082997,-3.568054601,9.23731661
01/01/2006,ibb144676,103,-0.499999999999999,4,1.75,2679.512207,6 - Nol Clingmans,BB 000000 144676 21,274255,3937971,NOL,81.27,E,2144571.122,2143245.557,9,1.81,1770,1772.272727,0,0,59,102,1529,1887,1984,1955,1792,1363,74,28.34,4.96,143.2,6.28,10510,1,1,01,-2.401377201,-0.00067438,14.57090142,-0.003082997,-3.595029801,9.11399673
01/01/2006,ic8142ab2,106,-2.5,3,0.25,2908.89502,6 - Nol Clingmans,C8 000000 142AB2 21,274381,3938007,NOL,74.94,E,2191803.438,2224942.979,9,1.87,1714,1772.272727,0,0,59,126,1634,1957,2041,2014,1864,1448,102,21,3.99,53.85,6.72,10960,0,1,01,-2.401377201,-0.00067438,14.57090142,-0.003082997,-3.557264521,9.286644562
01/01/2006,icc142a94,101,-0.499999999999999,9,4.25,2697.458496,6 - Nol Clingmans,CC 000000 142A94 21,274163,3937955,NOL,68.89,E,2154816.379,2154821.223,9,1.91,1810,1772.272727,0,0,59,101,1549,1888,1977,1956,1806,1392,74,20.84,5.26,192.1,5.94,10570,1,1,01,-2.401377201,-0.00067438,14.57090142,-0.003082997,-3.622005001,8.99067685
01/01/2006,icf140a09,102,-1,3.44444444444445,1.22222222222222,2777.615234,6 - Nol Clingmans,CF 000000 140A09 21,274212,3937957,NOL,76.63,E,2164296.7,2154984.131,9,1.85,1790,1772.272727,0,0,59,91,1524,1856,1945,1926,1778,1368,74,32.96,5.14,170,6.03,10400,1,1,01,-2.401377201,-0.00067438,14.57090142,-0.003082997,-3.608517401,9.05233679
01/02/2006,i0514252c,107,2.5,4,3.25,3355.539062,6 - Nol Clingmans,05 000000 14252C 21,274433,3938026,NOL,133.1,E,2352817.976,2352739.616,9,1.03,1688,1772.272727,0,0,59,112,1601,1925,2004,1984,1829,1456,102,15.92,2.65,14.14,7.47,10800,1,1,01,5.136719876,-0.002385445,20.29465878,-0.007082666,1.110088716,8.339118572
01/02/2006,i201423f0,99,3,5,4,2698.917236,6 - Nol Clingmans,20 000000 1423F0 21,274078,3937944,NOL,70.8,E,2148512.182,2148885.257,9,1.9,1852,1772.272727,0,0,59,105,1552,1900,1991,1966,1788,1394,66,20.71,5.58,264,5.81,10590,1,1,01,5.136719876,-0.002385445,20.29465878,-0.007082666,0.718875736,7.177561348
01/02/2006,i4413f5d9,98,2.5,5,3.75,2693.997559,6 - Nol Clingmans,44 000000 13F5D9 21,274035,3937936,NOL,77.82,E,2145182.006,2128250.467,9,1.84,1874,1772.272727,0,0,59,81,1498,1821,1904,1888,1757,1343,66,36.57,5.71,302.3,5.27,10210,1,1,01,5.136719876,-0.002385445,20.29465878,-0.007082666,0.666395946,7.021742696
01/02/2006,i81143268,104,1.94444444444444,4.44444444444444,3.19444444444444,2676.846436,6 - Nol Clingmans,81 000000 143268 21,274294,3937984,NOL,66.63,E,2130930.041,2139279.228,9,1.93,1749,1772.272727,0,0,59,103,1543,1894,1988,1961,1805,1382,74,20.93,4.72,111.8,6.21,10570,1,1,01,5.136719876,-0.002385445,20.29465878,-0.007082666,0.964576571,7.907075946
01/02/2006,i961422c9,108,0.944444444444446,3,1.97222222222222,4060.049072,6 - Nol Clingmans,96 000000  1422C9 21,274450,3938033,NOL,158.1,E,2352817.976,2531460.854,9,0.61,1687,1772.272727,0,0,59,154,1740,2016,2060,2049,1961,1631,102,20.72,0,0,10.67,11460,1,1,01,5.136719876,-0.002385445,20.29465878,-0.007082666,1.112474161,8.346201238
01/02/2006,ia31439b1,100,3,5.94444444444445,4.47222222222222,2676.792969,6 - Nol Clingmans,A3 000000 1439B1 21,274123,3937951,NOL,78.99,E,2148885.257,2143628.278,9,1.83,1831,1772.272727,0,0,59,101,1541,1890,1982,1957,1800,1377,74,22.81,5.42,226.3,6,10550,1,1,01,5.136719876,-0.002385445,20.29465878,-0.007082666,0.768970081,7.326297334
